,node_count,m,edges,density,ipce_time,pce_time,runtime_ratio
0,99,,49,0.01,0.002,0.001,0.5
1,100,,247,0.05,0.002,0.002,1.0
2,100,,495,0.1,0.003,0.002,0.6666666666666666
3,100,,742,0.15,0.003,0.002,0.6666666666666666
4,100,,990,0.2,0.004,0.003,0.75
5,100,,1237,0.25,0.005,0.005,1.0
6,100,,1485,0.3,0.009000000000000001,0.009999999999999998,1.1111111111111107
7,100,,1732,0.35,0.017,0.020999999999999998,1.2352941176470587
8,150,,111,0.01,0.002,0.001,0.5
9,150,,558,0.05,0.002,0.001,0.5
10,150,,1117,0.1,0.003,0.002,0.6666666666666666
11,150,,1676,0.15,0.004,0.004,1.0
12,150,,2235,0.2,0.009000000000000001,0.009000000000000001,1.0
13,150,,2793,0.25,0.018000000000000002,0.022,1.222222222222222
14,150,,3352,0.3,0.04,0.051,1.275
15,150,,3911,0.35,0.10200000000000001,0.135,1.3235294117647058
16,200,,199,0.01,0.002,0.001,0.5
17,200,,995,0.05,0.003,0.002,0.6666666666666666
18,200,,1990,0.1,0.004,0.004,1.0
19,200,,2985,0.15,0.009000000000000001,0.009000000000000001,1.0
20,200,,3980,0.2,0.021,0.024,1.1428571428571428
21,200,,4975,0.25,0.053000000000000005,0.065,1.2264150943396226
22,200,,5970,0.3,0.135,0.178,1.3185185185185184
23,200,,6965,0.35,0.404,0.549,1.358910891089109
24,250,,311,0.01,0.002,0.001,0.5
25,250,,1556,0.05,0.003,0.002,0.6666666666666666
26,250,,3112,0.1,0.007,0.006,0.8571428571428571
27,250,,4668,0.15,0.017,0.019,1.1176470588235292
28,250,,6225,0.2,0.046,0.056,1.2173913043478262
29,250,,7781,0.25,0.132,0.172,1.3030303030303028
30,250,,9337,0.3,0.399,0.576,1.443609022556391
31,250,,10893,0.35,1.476,1.954,1.3238482384823849
32,300,,448,0.01,0.002,0.002,1.0
33,300,,2242,0.05,0.004,0.003,0.75
34,300,,4485,0.1,0.009999999999999998,0.011,1.1
35,300,,6727,0.15,0.031,0.036000000000000004,1.1612903225806452
36,300,,8970,0.2,0.092,0.11800000000000001,1.282608695652174
37,300,,11212,0.25,0.29,0.392,1.3517241379310345
38,300,,13455,0.3,0.975,1.2879999999999998,1.321025641025641
39,300,,15697,0.35,4.203,5.909999999999999,1.4061384725196286
40,350,,610,0.01,0.003,0.002,0.6666666666666666
41,350,,3053,0.05,0.005,0.004,0.8
42,350,,6107,0.1,0.016,0.017,1.0625
43,350,,9161,0.15,0.053,0.077,1.4528301886792454
44,350,,12215,0.2,0.177,0.222,1.2542372881355932
45,350,,15268,0.25,0.587,0.764,1.3015332197614993
46,350,,18322,0.3,2.15,3.436,1.598139534883721
47,350,,21376,0.35,10.87,13.818,1.2712051517939282
48,400,,798,0.01,0.003,0.002,0.6666666666666666
49,400,,3990,0.05,0.006,0.006,1.0
50,400,,7980,0.1,0.024,0.026000000000000002,1.0833333333333335
51,400,,11970,0.15,0.08800000000000001,0.104,1.1818181818181817
52,400,,15960,0.2,0.309,0.382,1.2362459546925566
53,400,,19950,0.25,1.1099999999999999,1.41,1.2702702702702704
54,400,,23940,0.3,4.568,5.898,1.2911558669001753
55,400,,27930,0.35,26.14,32.874,1.2576128538638103
56,450,,1010,0.01,0.003,0.002,0.6666666666666666
57,450,,5051,0.05,0.008,0.007,0.875
58,450,,10102,0.1,0.034,0.041,1.2058823529411764
59,450,,15153,0.15,0.139,0.164,1.1798561151079137
60,450,,20205,0.2,0.52,0.65,1.25
61,450,,25256,0.25,2.051,2.526,1.2315943442223303
62,450,,30307,0.3,8.897,11.302000000000001,1.2703158367989211
63,450,,35358,0.35,56.552,73.679,1.3028540104682416
64,500,,1247,0.01,0.004,0.002,0.5
65,500,,6237,0.05,0.013000000000000001,0.012,0.923076923076923
66,500,,12475,0.1,0.062,0.07100000000000001,1.1451612903225807
67,500,,18712,0.15,0.275,0.32,1.1636363636363636
68,500,,24950,0.2,1.103,1.298,1.1767905711695377
69,500,,31187,0.25,4.454,5.29,1.1876964526268523
70,500,,37425,0.3,15.934999999999999,20.19,1.267022278004393
71,500,,43662,0.35,115.92200000000001,145.107,1.251764117251255
